18,1,1,100,25.9,0.26,69.0,0.69,667,0.58,12
18,1,1,200,24.9,0.25,74.0,0.74,620,0.67,12
18,1,1,300,25.9,0.26,67.0,0.67,646,0.58,12
18,1,1,400,25.8,0.26,69.0,0.69,404,0.67,12
18,1,1,500,25.9,0.26,69.0,0.69,437,0.58,12
18,1,1,600,25.6,0.26,70.0,0.70,468,0.67,12
18,1,1,700,25.9,0.26,68.0,0.68,403,0.57,12
18,1,1,800,26.4,0.26,66.0,0.66,331,0.67,12
18,1,1,900,27.8,0.28,62.0,0.62,352,0.57,12
18,1,1,1000,29.6,0.30,56.0,0.56,919,0.67,12
18,1,1,1100,30.3,0.30,53.0,0.53,327,0.57,12
18,1,1,1200,30.9,0.31,52.0,0.52,833,0.67,12
18,1,1,1300,31.4,0.31,50.0,0.50,1420,0.57,12
18,1,1,1400,30.9,0.31,54.0,0.54,727,0.67,12
18,1,1,1500,29.5,0.30,58.0,0.58,1039,0.57,12
18,1,1,1600,29.0,0.29,58.0,0.58,1179,0.67,12
18,1,1,1700,28.3,0.28,60.0,0.60,742,0.57,12
18,1,1,1800,27.4,0.27,64.0,0.64,508,0.67,12
18,1,1,1900,26.8,0.27,66.0,0.66,775,0.57,12
18,1,1,2000,26.3,0.26,68.0,0.68,647,0.67,12
18,1,1,2100,26.2,0.26,67.0,0.67,1013,0.57,12
18,1,1,2200,26.0,0.26,67.0,0.67,767,0.67,12
18,1,1,2300,26.1,0.26,68.0,0.68,560,0.58,12
18,1,1,2400,24.3,0.24,78.0,0.78,754,0.67,12
18,1,2,100,23.7,0.24,80.0,0.80,384,0.58,12
18,1,2,200,22.5,0.23,87.0,0.87,375,0.67,12
18,1,2,300,23.5,0.24,81.0,0.81,467,0.58,12
18,1,2,400,22.6,0.23,86.0,0.86,639,0.67,12
18,1,2,500,22.5,0.23,87.0,0.87,969,0.57,12
18,1,2,600,23.6,0.24,81.0,0.81,770,0.67,12
18,1,2,700,24.9,0.25,74.0,0.74,678,0.57,12
18,1,2,800,26.3,0.26,69.0,0.69,814,0.67,12
18,1,2,900,27.1,0.27,66.0,0.66,547,0.57,12
18,1,2,1000,28.2,0.28,63.0,0.63,1430,0.67,12
18,1,2,1100,29.5,0.30,60.0,0.60,322,0.57,12
18,1,2,1200,30.4,0.30,56.0,0.56,960,0.67,12
18,1,2,1300,30.5,0.31,56.0,0.56,890,0.57,12
18,1,2,1400,30.8,0.31,54.0,0.54,507,0.67,12
18,1,2,1500,30.5,0.31,56.0,0.56,1150,0.57,12
18,1,2,1600,29.1,0.29,59.0,0.59,810,0.66,12
18,1,2,1700,28.2,0.28,61.0,0.61,371,0.57,12
18,1,2,1800,27.4,0.27,66.0,0.66,312,0.67,12
18,1,2,1900,26.6,0.27,67.0,0.67,51,0.57,12
18,1,2,2000,25.8,0.26,70.0,0.70,861,0.67,12
18,1,2,2100,24.9,0.25,76.0,0.76,434,0.57,12
18,1,2,2200,25.7,0.26,71.0,0.71,777,0.67,12
18,1,2,2300,25.7,0.26,72.0,0.72,638,0.57,12
18,1,2,2400,25.4,0.25,73.0,0.73,1065,0.66,12
18,1,3,100,24.0,0.35,81.0,0.73,832,0.03,12
18,1,3,200,23.7,0.21,82.0,0.74,920,0.40,12
18,1,3,300,24.5,0.22,76.0,0.68,1347,1.30,12
18,1,3,400,23.1,0.21,83.0,0.75,1221,0.17,12
18,1,3,500,24.6,0.22,76.0,0.68,656,0.08,12
18,1,3,600,24.6,0.22,76.0,0.68,1130,0.79,12
18,1,3,700,24.3,0.22,78.0,0.70,564,0.33,12
18,1,3,800,26.0,0.23,72.0,0.65,954,0.05,12
18,1,3,900,27.9,0.25,64.0,0.58,796,0.26,12
18,1,3,1000,29.3,0.26,58.0,0.52,1083,0.08,12
18,1,3,1100,29.1,0.26,59.0,0.53,500,0.46,12
18,1,3,1200,30.2,0.27,56.0,0.50,366,0.03,12
18,1,3,1300,31.0,0.28,55.0,0.50,874,0.43,12
18,1,3,1400,30.8,0.28,54.0,0.49,135,0.06,12
18,1,3,1500,29.2,0.26,59.0,0.53,1137,1.06,12
18,1,3,1600,28.4,0.26,62.0,0.56,439,0.03,12
18,1,3,1700,27.9,0.25,62.0,0.56,222,0.06,12
18,1,3,1800,26.6,0.24,70.0,0.63,636,0.23,12
18,1,3,1900,26.0,0.23,71.0,0.64,834,0.36,12
18,1,3,2000,26.4,0.24,67.0,0.60,833,0.34,12
18,1,3,2100,26.8,0.24,65.0,0.59,615,0.39,12
18,1,3,2200,26.6,0.24,62.0,0.56,1078,0.10,12
18,1,3,2300,26.3,0.24,63.0,0.57,988,0.39,12
18,1,3,2400,26.3,0.20,60.0,0.54,599,0.10,12
18,1,4,100,26.0,0.08,59.0,0.53,279,0.11,12
18,1,4,200,25.2,0.01,60.0,0.54,614,0.34,12
18,1,4,300,25.3,0.12,56.0,0.50,1103,0.99,12
18,1,4,400,25.1,0.06,56.0,0.50,939,0.04,12
18,1,4,500,25.2,0.00,60.0,0.54,714,0.19,12
18,1,4,600,24.8,0.23,62.0,0.56,576,0.15,12
18,1,4,700,24.8,0.08,63.0,0.57,559,0.33,12
18,1,4,800,25.8,0.14,59.0,0.53,604,0.51,12
18,1,4,900,27.1,0.20,56.0,0.50,657,0.23,12
18,1,4,1000,28.4,0.18,53.0,0.48,939,0.69,12
18,1,4,1100,28.7,0.06,52.0,0.47,320,0.22,12
